,timestamp,open,high,low,close,volume,wap,barCount,trd_prd
0,2024-09-03,367.9,369.38,362.9,364.74,929997,365.947,6612,2024.09
1,2024-09-04,364.17,365.93,360.01,364.67,1340658,363.514,7782,2024.09
2,2024-09-05,364.9,365.15,357.58,361.85,1098417,360.605,8141,2024.09
3,2024-09-06,362.92,365.44,359.42,360.05,869802,361.684,6272,2024.09
4,2024-09-09,362.76,366.16,360.03,365.52,949434,364.14,6436,2024.09
5,2024-09-10,365.7,371.56,362.48,370.87,911002,368.991,6231,2024.09
6,2024-09-11,369.55,371.21,362.14,370.49,1203512,366.653,7941,2024.09
7,2024-09-12,371.94,374.99,370.56,374.43,991704,373.12,6488,2024.09
8,2024-09-13,375.56,382.0,375.51,379.99,1115436,379.975,7398,2024.09
9,2024-09-16,382.0,384.0,379.53,382.01,1161491,381.552,7137,2024.09
10,2024-09-17,383.43,387.94,381.68,383.24,1181455,384.475,7833,2024.09
11,2024-09-18,384.09,392.67,381.07,384.01,1716406,385.625,11815,2024.09
12,2024-09-19,390.84,391.87,387.01,390.34,1584861,389.628,10710,2024.09
13,2024-09-20,388.33,391.83,387.0,389.86,1982289,389.153,7245,2024.09
14,2024-09-23,390.83,392.65,387.26,391.96,824716,390.504,5628,2024.09
15,2024-09-24,394.7,401.11,393.63,400.66,1883209,397.969,12747,2024.09
16,2024-09-25,400.66,400.66,395.62,396.93,1204733,397.524,6728,2024.09
17,2024-09-26,399.5,400.0,395.49,396.7,853300,397.604,5803,2024.09
18,2024-09-27,399.65,403.55,398.31,399.53,976067,400.744,6832,2024.09
19,2024-09-30,400.2,405.31,399.02,405.2,1412722,403.021,7936,2024.09
20,2024-10-01,404.02,410.56,401.41,409.05,1635016,406.701,11567,2024.1
21,2024-10-02,407.7,411.46,404.96,411.26,1418476,409.07,10244,2024.1
22,2024-10-03,409.0,412.97,406.8,411.58,1540693,410.227,10726,2024.1
23,2024-10-04,410.07,411.82,399.45,408.36,1988940,406.327,12931,2024.1
24,2024-10-07,404.89,409.81,401.24,408.06,1630602,407.259,9864,2024.1
25,2024-10-08,409.8,415.29,408.44,414.18,1280463,413.147,8374,2024.1
26,2024-10-09,420.0,420.03,410.75,416.07,1791788,414.871,11384,2024.1
27,2024-10-10,409.72,414.48,407.63,409.96,1296153,410.979,8611,2024.1
28,2024-10-11,410.88,413.14,408.84,411.9,971750,411.24,6744,2024.1
29,2024-10-14,411.48,416.42,411.3,415.42,759012,414.513,5501,2024.1
30,2024-10-15,417.95,421.56,415.02,415.58,1410601,417.988,9267,2024.1
