,timestamp,open,high,low,close,volume,wap,barCount,trd_prd
0,2024-09-03,165.24,167.81,164.77,167.16,3293639,166.932,18880,2024.09
1,2024-09-04,167.81,168.85,166.04,167.36,3716323,167.402,20633,2024.09
2,2024-09-05,167.2,167.37,164.83,164.99,2201018,165.785,13344,2024.09
3,2024-09-06,165.18,165.94,164.12,164.38,2224976,164.833,13398,2024.09
4,2024-09-09,164.84,167.41,164.47,166.61,3433668,166.536,17418,2024.09
5,2024-09-10,167.5,168.46,166.74,167.38,3268046,167.469,18161,2024.09
6,2024-09-11,166.79,166.79,164.09,164.82,2762646,164.991,17584,2024.09
7,2024-09-12,164.2,165.1,162.71,164.64,1617106,163.893,10068,2024.09
8,2024-09-13,164.74,165.75,163.82,165.52,1708836,165.209,10757,2024.09
9,2024-09-16,166.36,167.25,165.78,166.99,1829132,166.574,10610,2024.09
10,2024-09-17,166.24,167.72,165.93,167.07,2317448,166.978,14832,2024.09
11,2024-09-18,166.63,168.35,165.74,166.15,2272934,166.964,13813,2024.09
12,2024-09-19,166.23,166.37,164.42,164.82,2162656,165.118,13571,2024.09
13,2024-09-20,164.3,164.87,163.55,164.16,3721779,164.257,13483,2024.09
14,2024-09-23,164.4,164.5,162.72,163.22,2083055,163.161,12725,2024.09
15,2024-09-24,162.79,163.49,161.55,162.78,2302355,162.578,13837,2024.09
16,2024-09-25,163.0,163.32,160.36,160.6,2524712,161.083,15198,2024.09
17,2024-09-26,160.24,161.54,160.02,161.39,2600139,160.959,16269,2024.09
18,2024-09-27,162.0,163.43,161.34,161.4,2134478,162.257,12609,2024.09
19,2024-09-30,161.5,162.18,160.68,162.06,2303623,161.435,13383,2024.09
20,2024-10-01,162.43,162.75,161.18,161.99,1932237,161.92,11516,2024.1
21,2024-10-02,161.51,162.12,160.65,161.17,1732117,161.32,11174,2024.1
22,2024-10-03,160.78,161.44,160.22,160.5,1861204,160.744,11676,2024.1
23,2024-10-04,159.5,160.5,158.77,160.29,2181503,159.695,12690,2024.1
24,2024-10-07,160.25,160.86,159.22,159.53,1791351,159.928,11392,2024.1
25,2024-10-08,159.49,160.25,158.95,159.69,2075472,159.473,12179,2024.1
26,2024-10-09,159.92,161.22,159.51,160.65,2225426,160.426,12506,2024.1
27,2024-10-10,161.36,161.39,159.99,160.51,2109967,160.54,13148,2024.1
28,2024-10-11,162.18,162.66,161.2,161.46,2574461,161.716,15641,2024.1
29,2024-10-14,161.4,162.14,160.9,161.6,3171402,161.625,19933,2024.1
30,2024-10-15,160.0,166.75,159.0,164.1,5560419,164.036,32829,2024.1
31,2024-10-16,164.0,164.99,162.64,164.28,2881545,164.347,18460,2024.1
32,2024-10-17,164.26,165.0,163.63,164.47,2315120,164.362,13648,2024.1
33,2024-10-18,164.89,165.29,163.93,165.12,2753616,164.801,13056,2024.1
34,2024-10-21,165.1,165.25,162.31,162.83,3088504,163.217,18107,2024.1
35,2024-10-22,162.32,163.73,161.9,163.45,1768542,163.151,10797,2024.1
36,2024-10-23,162.82,166.0,162.42,165.86,4072339,164.66,23779,2024.1
37,2024-10-24,165.0,165.51,163.34,163.67,2700065,163.996,15998,2024.1
38,2024-10-25,163.68,163.92,160.61,160.88,3417130,161.657,20826,2024.1
39,2024-10-28,161.13,161.97,161.0,161.6,1641703,161.611,9917,2024.1
40,2024-10-29,161.46,162.17,160.06,160.09,2622858,161.083,16011,2024.1
41,2024-10-30,159.45,161.28,159.03,160.61,2592129,160.54,15411,2024.1
42,2024-10-31,159.99,160.87,159.46,159.86,4341076,160.276,24351,2024.1
43,2024-11-01,160.58,161.06,159.88,160.13,2198146,160.558,13671,2024.11
44,2024-11-04,159.7,160.28,158.07,158.24,2174822,158.755,12562,2024.11
45,2024-11-05,157.67,158.59,156.35,158.35,3344547,157.827,19994,2024.11
46,2024-11-06,159.9,160.85,157.35,157.88,4797745,158.189,24543,2024.11
47,2024-11-07,158.47,158.75,156.51,156.73,3462730,157.109,19176,2024.11
48,2024-11-08,157.0,157.08,155.41,155.47,4697062,156.049,23896,2024.11
49,2024-11-11,155.62,157.58,154.91,155.04,3711478,155.793,19800,2024.11
50,2024-11-12,154.53,155.04,152.37,152.64,3485575,153.222,19499,2024.11
51,2024-11-13,152.5,153.51,151.42,153.24,3405955,152.747,19104,2024.11
52,2024-11-14,153.18,153.6,150.76,151.87,4031303,152.08,24543,2024.11
53,2024-11-15,150.9,154.43,150.9,154.0,6026661,153.224,29986,2024.11
54,2024-11-18,152.59,155.33,152.33,154.77,3321537,154.379,18486,2024.11
55,2024-11-19,153.94,153.99,152.05,153.0,4042145,152.673,23000,2024.11
