,timestamp,open,high,low,close,volume,wap,barCount,trd_prd
0,2024-09-03,222.3,224.1,219.24,220.3,4810695,221.393,28856,2024.09
1,2024-09-04,221.04,222.07,217.21,219.33,4067940,219.735,25588,2024.09
2,2024-09-05,220.15,220.8,216.03,217.63,4357670,218.028,24919,2024.09
3,2024-09-06,217.6,218.74,211.09,212.46,4046060,214.139,24690,2024.09
4,2024-09-09,215.19,218.15,214.17,216.81,4024539,216.637,23177,2024.09
5,2024-09-10,218.6,218.64,200.61,205.56,20301549,205.117,99862,2024.09
6,2024-09-11,205.53,207.7,201.83,207.23,7950942,204.828,47793,2024.09
7,2024-09-12,207.65,208.78,204.89,206.6,4096414,206.405,24603,2024.09
8,2024-09-13,206.86,207.85,203.02,204.32,6371417,204.99,37003,2024.09
9,2024-09-16,205.83,208.21,205.59,207.86,3649401,207.071,19712,2024.09
10,2024-09-17,207.73,209.93,207.66,209.25,3992555,208.74,22247,2024.09
11,2024-09-18,209.46,211.34,206.7,207.53,4630119,208.269,27262,2024.09
12,2024-09-19,209.78,211.91,207.34,210.48,5834869,210.195,32649,2024.09
13,2024-09-20,209.93,211.42,209.5,211.09,6038087,210.369,26564,2024.09
14,2024-09-23,211.0,211.8,209.99,211.44,2957227,211.003,17142,2024.09
15,2024-09-24,211.15,212.95,210.37,211.59,3146108,211.583,17716,2024.09
16,2024-09-25,211.68,212.24,208.61,210.19,3410274,209.997,19985,2024.09
17,2024-09-26,211.13,211.7,209.01,209.78,3801900,210.241,22746,2024.09
18,2024-09-27,210.65,212.44,209.33,210.5,2795904,210.801,15283,2024.09
19,2024-09-30,206.31,210.96,205.29,210.86,3711966,208.866,21081,2024.09
20,2024-10-01,208.9,209.09,206.19,207.04,4087114,207.565,24373,2024.1
21,2024-10-02,207.08,208.95,205.69,207.29,2963278,207.475,17396,2024.1
22,2024-10-03,206.17,206.49,204.34,205.23,3802301,205.202,21860,2024.1
23,2024-10-04,209.3,211.67,206.91,211.22,4562097,209.413,24267,2024.1
24,2024-10-07,211.03,213.33,209.69,210.93,2912484,211.376,17816,2024.1
25,2024-10-08,210.58,211.33,208.38,210.75,2930325,210.181,16694,2024.1
26,2024-10-09,209.7,214.24,209.38,213.42,2972841,212.865,17850,2024.1
27,2024-10-10,214.81,214.81,211.47,212.84,3855086,212.854,23193,2024.1
28,2024-10-11,215.38,224.63,215.16,222.29,11352185,222.183,64618,2024.1
29,2024-10-14,223.2,223.7,218.88,221.48,4758174,220.664,26374,2024.1
30,2024-10-15,223.66,225.45,221.82,222.39,4976238,223.519,30219,2024.1
31,2024-10-16,222.33,223.68,221.04,223.64,3015954,222.512,18335,2024.1
32,2024-10-17,224.15,225.85,223.31,224.42,3450109,224.902,21024,2024.1
33,2024-10-18,225.0,225.92,223.1,225.37,3496825,225.008,16139,2024.1
34,2024-10-21,225.22,225.7,222.9,223.0,2689140,223.816,16263,2024.1
35,2024-10-22,223.02,225.28,221.1,224.12,4965302,223.628,27185,2024.1
36,2024-10-23,223.66,224.8,222.53,223.41,2696350,223.732,16887,2024.1
37,2024-10-24,221.83,225.06,221.66,224.98,2787462,223.48,16952,2024.1
38,2024-10-25,225.0,225.62,220.87,222.31,2978123,222.8,17974,2024.1
39,2024-10-28,223.35,225.64,222.95,225.5,2777587,224.593,16137,2024.1
40,2024-10-29,225.21,226.75,222.81,222.9,3353153,223.925,19536,2024.1
41,2024-10-30,222.54,226.31,221.58,224.41,3460293,224.884,21619,2024.1
42,2024-10-31,224.7,225.69,221.82,221.92,3476874,223.351,21608,2024.1
43,2024-11-01,223.56,226.15,222.7,222.94,3443673,224.472,21461,2024.11
44,2024-11-04,222.65,223.76,219.17,219.78,4159013,220.787,25703,2024.11
45,2024-11-05,220.03,221.96,220.0,221.49,3050203,220.954,17140,2024.11
46,2024-11-06,235.0,248.0,234.77,247.06,15119422,242.97,87845,2024.11
47,2024-11-07,244.5,244.57,235.22,236.38,9794134,238.594,53933,2024.11
48,2024-11-08,239.34,239.34,235.78,236.98,4717173,237.77,25666,2024.11
49,2024-11-11,240.0,242.1,239.0,239.29,4064417,240.503,23308,2024.11
50,2024-11-12,240.55,241.46,238.76,239.56,3702462,239.899,23033,2024.11
51,2024-11-13,240.58,244.09,240.31,241.16,4003356,242.205,23940,2024.11
52,2024-11-14,242.42,244.29,241.05,241.87,4350760,242.51,25926,2024.11
53,2024-11-15,241.46,246.42,241.46,245.31,6043487,244.819,35382,2024.11
54,2024-11-18,247.63,247.93,242.68,245.03,3866469,245.022,22304,2024.11
