,timestamp,open,high,low,close,volume,wap,barCount,trd_prd
0,2024-09-03,116.01,116.21,107.29,108.0,353878209,110.529,1029657,2024.09
1,2024-09-04,105.4,109.99,104.12,106.21,300265583,107.433,863910,2024.09
2,2024-09-05,104.97,109.65,104.76,107.21,236896049,107.518,649450,2024.09
3,2024-09-06,108.06,108.15,100.95,102.83,307106247,103.297,889372,2024.09
4,2024-09-09,104.86,106.55,103.69,106.47,207564871,105.334,557331,2024.09
5,2024-09-10,107.81,109.4,104.95,108.1,211500638,106.946,586963,2024.09
6,2024-09-11,109.44,117.18,107.42,116.91,350983556,112.282,1028119,2024.09
7,2024-09-12,116.84,120.79,115.38,119.14,288861633,118.949,831598,2024.09
8,2024-09-13,119.05,119.96,117.6,119.1,185856246,118.984,523350,2024.09
9,2024-09-16,116.79,118.18,114.36,116.78,188907194,116.491,508489,2024.09
10,2024-09-17,118.17,118.8,114.83,115.59,182258328,116.625,528312,2024.09
11,2024-09-18,115.92,117.7,113.22,113.37,238193758,115.229,649071,2024.09
12,2024-09-19,117.35,119.66,117.25,117.87,215714327,118.695,641329,2024.09
13,2024-09-20,117.06,118.62,115.39,116.0,203036789,116.656,581066,2024.09
14,2024-09-23,116.54,116.99,114.86,116.26,154285261,115.948,435126,2024.09
15,2024-09-24,116.5,121.8,115.38,120.87,276243546,119.484,795694,2024.09
16,2024-09-25,122.02,124.94,121.61,123.51,222264093,123.641,601741,2024.09
17,2024-09-26,126.79,127.67,121.8,124.04,235250692,124.542,674704,2024.09
18,2024-09-27,123.97,124.03,119.26,121.4,209568257,121.065,617621,2024.09
19,2024-09-30,118.3,121.5,118.15,121.44,167541402,120.267,478575,2024.09
20,2024-10-01,121.77,122.44,115.79,117.0,230126625,117.939,718372,2024.1
21,2024-10-02,116.41,119.38,115.14,118.85,157181787,118.14,443301,2024.1
22,2024-10-03,120.88,124.36,120.34,122.85,223461350,122.671,653780,2024.1
23,2024-10-04,124.91,125.01,121.83,124.92,190211058,123.895,558749,2024.1
24,2024-10-07,124.96,130.64,124.94,127.72,277105046,128.233,757117,2024.1
25,2024-10-08,130.24,133.48,129.42,132.89,224616431,131.93,631685,2024.1
26,2024-10-09,134.12,134.52,131.38,132.65,196383266,132.703,548607,2024.1
27,2024-10-10,131.91,135.0,131.0,134.81,193379120,133.939,536599,2024.1
28,2024-10-11,134.02,135.78,133.66,134.8,133037375,134.868,395189,2024.1
29,2024-10-14,136.47,139.6,136.3,138.07,176063369,138.482,505446,2024.1
30,2024-10-15,137.87,138.57,128.74,131.6,294111838,132.412,893462,2024.1
31,2024-10-16,133.96,136.62,131.59,135.72,210104609,134.436,595364,2024.1
32,2024-10-17,139.33,140.89,136.87,136.93,233918361,139.047,690752,2024.1
33,2024-10-18,138.66,138.9,137.28,138.0,133009527,138.107,365203,2024.1
34,2024-10-21,138.13,143.71,138.0,143.71,201273741,141.3,575929,2024.1
35,2024-10-22,142.97,144.42,141.78,143.59,172755119,143.3,504085,2024.1
36,2024-10-23,142.02,142.43,137.46,139.56,224351321,139.674,717490,2024.1
37,2024-10-24,140.82,141.35,138.46,140.41,131692390,139.917,402934,2024.1
38,2024-10-25,140.93,144.13,140.8,141.54,161020122,142.655,481075,2024.1
39,2024-10-28,143.03,143.14,140.05,140.52,129589069,141.179,403410,2024.1
40,2024-10-29,140.26,142.26,138.9,141.25,115322871,140.995,378279,2024.1
