,timestamp,open,high,low,close,volume,wap,barCount,trd_prd
0,2024-09-03,171.03,175.0,170.99,174.52,4644091,173.819,23517,2024.09
1,2024-09-04,173.63,176.0,173.63,175.9,3362278,175.205,15348,2024.09
2,2024-09-05,175.99,176.55,174.67,175.47,2638945,175.572,15213,2024.09
3,2024-09-06,175.76,177.04,175.34,175.59,2634944,176.108,15730,2024.09
4,2024-09-09,175.54,176.84,174.66,176.06,2613870,175.874,14767,2024.09
5,2024-09-10,175.91,177.94,175.91,177.79,3028083,177.251,18816,2024.09
6,2024-09-11,176.6,177.0,173.63,173.92,3281812,174.506,19763,2024.09
7,2024-09-12,173.9,174.62,172.44,173.47,2039209,173.378,12952,2024.09
8,2024-09-13,173.37,174.54,172.8,174.08,1941545,173.968,12169,2024.09
9,2024-09-16,174.71,177.31,174.32,177.24,2777247,176.246,15337,2024.09
10,2024-09-17,176.63,176.97,175.36,175.88,2037096,176.074,12808,2024.09
11,2024-09-18,175.05,175.9,172.57,173.92,2292721,174.622,14242,2024.09
12,2024-09-19,172.88,173.16,170.38,171.54,4227043,171.467,25366,2024.09
13,2024-09-20,171.51,174.54,171.5,174.22,5658605,172.553,21880,2024.09
14,2024-09-23,174.01,175.19,172.59,173.77,2721848,173.939,17066,2024.09
15,2024-09-24,172.88,174.5,172.61,173.24,2321736,173.386,15964,2024.09
16,2024-09-25,174.07,174.68,172.06,172.26,2516362,172.849,16260,2024.09
17,2024-09-26,171.5,174.61,171.36,173.21,2356375,173.312,14570,2024.09
18,2024-09-27,173.01,174.45,172.58,173.55,1837893,173.668,10838,2024.09
19,2024-09-30,173.73,174.0,172.71,173.2,2145790,173.276,13434,2024.09
20,2024-10-01,173.24,174.0,172.2,173.04,3329589,173.075,20170,2024.1
21,2024-10-02,172.01,172.45,171.08,171.92,3070893,171.678,18675,2024.1
22,2024-10-03,171.37,171.37,169.77,170.12,2132663,170.378,12417,2024.1
23,2024-10-04,168.85,170.09,168.26,168.88,2786193,169.019,17557,2024.1
24,2024-10-07,169.16,169.58,166.87,167.12,3193552,167.819,17099,2024.1
25,2024-10-08,166.85,168.59,166.27,168.16,2710416,167.443,15884,2024.1
26,2024-10-09,168.38,169.81,168.0,169.27,2337150,169.162,15112,2024.1
27,2024-10-10,168.8,169.79,168.37,168.95,2304393,168.838,13698,2024.1
28,2024-10-11,169.46,171.41,168.97,171.09,2921222,170.47,18478,2024.1
29,2024-10-14,171.02,172.84,170.74,172.51,2846764,171.959,16025,2024.1
30,2024-10-15,172.89,174.91,172.81,173.57,3415996,173.596,22195,2024.1
31,2024-10-16,171.88,172.59,170.89,172.38,3110429,171.837,19181,2024.1
32,2024-10-17,172.18,173.68,171.76,172.28,3774332,172.478,20105,2024.1
33,2024-10-18,170.3,172.21,168.46,171.28,3938931,170.893,21618,2024.1
34,2024-10-21,170.97,171.48,168.45,169.54,2667619,169.438,16865,2024.1
35,2024-10-22,168.57,170.73,168.57,169.7,2512778,169.998,14323,2024.1
36,2024-10-23,169.55,170.17,168.72,169.58,2170463,169.373,13183,2024.1
37,2024-10-24,169.42,169.96,168.93,169.62,2390056,169.374,14129,2024.1
38,2024-10-25,168.92,169.4,168.04,168.22,2332477,168.822,13776,2024.1
39,2024-10-28,169.28,169.66,168.37,169.3,2814892,169.102,17032,2024.1
40,2024-10-29,168.86,168.86,166.83,167.17,2508257,167.636,16435,2024.1
41,2024-10-30,167.09,167.32,165.96,166.16,2213532,166.585,14323,2024.1
42,2024-10-31,165.76,167.04,165.09,165.18,2333256,165.921,16047,2024.1
43,2024-11-01,165.31,166.35,164.98,165.1,2640287,165.609,15998,2024.11
44,2024-11-04,165.72,166.27,164.58,165.08,2322768,165.169,14548,2024.11
45,2024-11-05,164.33,166.32,164.33,165.76,2013842,165.655,11272,2024.11
46,2024-11-06,165.61,166.04,159.81,161.05,6053342,161.937,38017,2024.11
47,2024-11-07,161.96,163.96,161.47,163.41,4530330,163.206,22975,2024.11
48,2024-11-08,164.02,167.75,163.93,167.71,3336083,166.464,20444,2024.11
49,2024-11-11,167.0,168.52,165.77,166.03,2424819,166.801,14876,2024.11
50,2024-11-12,166.14,167.06,165.57,165.84,2797252,166.199,18016,2024.11
51,2024-11-13,166.06,166.8,165.68,166.58,2283454,166.324,14163,2024.11
52,2024-11-14,166.71,168.04,166.51,167.08,3135936,167.362,18854,2024.11
53,2024-11-15,167.94,170.57,166.88,169.54,4951187,169.135,27383,2024.11
54,2024-11-18,169.11,171.45,168.83,170.75,3270164,170.355,19623,2024.11
55,2024-11-19,170.69,171.17,169.66,170.76,2368854,170.555,15045,2024.11
56,2024-11-20,170.01,171.07,169.5,170.89,3224381,170.359,20771,2024.11
57,2024-11-21,171.66,173.51,170.22,172.75,3169387,172.467,18685,2024.11
58,2024-11-22,174.15,177.4,173.88,176.28,5180106,176.258,30800,2024.11
59,2024-11-25,177.48,178.82,176.9,177.39,4667265,177.923,26723,2024.11
60,2024-11-26,177.2,179.46,177.2,179.31,3108639,178.567,17380,2024.11
61,2024-11-27,180.0,180.43,178.72,179.36,2911361,179.677,15679,2024.11
62,2024-11-29,178.7,179.63,178.28,179.26,1456749,178.941,8896,2024.11
63,2024-12-02,179.12,180.16,178.01,179.7,2938221,179.225,16948,2024.12
