date,position,cash,mark,mkt_value
2024-11-04,100,-56371.0,560.68,-303.0
2024-11-05,100,-56371.0,572.43,872.0
2024-11-06,100,-56371.0,572.05,834.0
2024-11-07,0,1932.33,591.7,1932.33
2024-11-08,0,1932.33,589.34,1932.33
2024-11-11,100,-56703.67,583.17,1613.33
2024-11-12,100,-56703.67,584.82,1778.33
2024-11-13,100,-56703.67,580.0,1296.33
2024-11-14,100,-56703.67,577.16,1012.33
2024-11-15,0,-1295.67,554.08,-1295.67
2024-11-18,-100,54408.33,554.4,-1031.67
2024-11-19,-100,54408.33,561.09,-1700.67
2024-11-20,-100,54408.33,565.52,-2143.67
2024-11-21,-100,54408.33,563.09,-1900.67
2024-11-22,0,-1505.67,559.14,-1505.67
2024-11-25,-100,54744.33,565.11,-1766.67
2024-11-26,-100,54744.33,573.54,-2609.67
2024-11-27,-100,54744.33,569.2,-2175.67
2024-11-29,0,-2687.67,574.32,-2687.67
2024-12-02,-100,55066.33,592.83,-4216.67
2024-12-03,-100,55066.33,613.65,-6298.67
2024-12-04,-100,55066.33,613.78,-6311.67
2024-12-05,-100,55066.33,608.93,-5826.67
2024-12-06,0,-7310.67,623.77,-7310.67
2024-12-09,0,-5674.93,613.57,-5674.93
2024-12-10,0,-5674.93,619.32,-5674.93
2024-12-11,0,-5674.93,632.68,-5674.93
2024-12-12,0,-5674.93,630.79,-5674.93
2024-12-13,0,-5674.93,620.35,-5674.93
2024-12-16,-100,57330.07,624.24,-5093.93
2024-12-17,-100,57330.07,619.44,-4613.93
2024-12-18,0,-3085.93,597.19,-3085.93
2024-12-19,0,-3085.93,595.57,-3085.93
2024-12-20,0,-3085.93,585.25,-3085.93
2024-12-23,-100,55874.07,599.85,-4110.93
2024-12-24,-100,55874.07,607.75,-4900.93
2024-12-26,-100,55874.07,603.35,-4460.93
2024-12-27,0,-4106.93,599.81,-4106.93
2024-12-30,100,-62957.93,591.24,-3833.93
2024-12-31,100,-62957.93,585.51,-4406.93
2025-01-02,0,-2483.08,599.24,-2483.08
2025-01-03,0,-2483.08,604.63,-2483.08
2025-01-06,-100,58667.92,630.2,-4352.08
2025-01-07,-100,58667.92,617.89,-3121.08
2025-01-08,-100,58667.92,610.72,-2404.08
2025-01-10,0,-2918.08,615.86,-2918.08
2025-01-13,100,-63631.08,608.33,-2798.08
2025-01-14,100,-63631.08,594.25,-4206.08
2025-01-15,100,-63631.08,617.12,-1919.08
2025-01-16,100,-63631.08,611.3,-2501.08
2025-01-17,0,-2354.08,612.77,-2354.08
2025-01-21,-100,59460.92,616.46,-2185.08
2025-01-22,-100,59460.92,623.5,-2889.08
2025-01-23,-100,59460.92,636.45,-4184.08
2025-01-24,0,-5288.08,647.49,-5288.08
2025-01-27,0,-3573.49,659.88,-3573.49
2025-01-28,0,-3573.49,674.33,-3573.49
2025-01-29,0,-3573.49,676.49,-3573.49
2025-01-30,0,-3573.49,687.0,-3573.49
2025-01-31,0,-3573.49,689.18,-3573.49
2025-02-03,100,-71129.49,697.46,-1383.49
2025-02-04,100,-71129.49,704.19,-710.49
2025-02-05,100,-71129.49,704.87,-642.49
2025-02-06,100,-71129.49,711.99,69.51
2025-02-07,0,1165.62,714.52,1165.62
2025-02-10,-100,73062.62,717.4,1322.62
2025-02-11,-100,73062.62,719.8,1082.62
2025-02-12,-100,73062.62,725.38,524.62
2025-02-13,-100,73062.62,728.56,206.62
2025-02-14,0,-604.38,736.67,-604.38
2025-02-18,100,-74237.38,716.37,-2600.38
2025-02-19,100,-74237.38,703.77,-3860.38
2025-02-20,100,-74237.38,694.84,-4753.38
2025-02-21,0,-5882.38,683.55,-5882.38
2025-02-24,0,-3522.9,668.13,-3522.9
2025-02-25,0,-3522.9,657.5,-3522.9
2025-02-26,0,-3522.9,673.7,-3522.9
2025-02-27,0,-3522.9,658.24,-3522.9
2025-02-28,0,-3522.9,668.2,-3522.9
2025-03-03,-100,63845.1,655.05,-1659.9
2025-03-04,0,-245.53,640.0,-245.53
2025-03-05,0,-245.53,656.47,-245.53
2025-03-06,0,-245.53,627.93,-245.53
2025-03-07,0,-245.53,625.66,-245.53
2025-03-10,100,-61052.53,597.99,-1253.53
2025-03-11,100,-61052.53,605.71,-481.53
2025-03-12,100,-61052.53,619.56,903.47
2025-03-13,100,-61052.53,590.64,-1988.53
2025-03-14,0,-292.53,607.6,-292.53
2025-03-17,-100,60479.47,604.9,-10.53
2025-03-18,-100,60479.47,582.36,2243.47
2025-03-19,-100,60479.47,584.06,2073.47
2025-03-20,-100,60479.47,586.0,1879.47
2025-03-21,0,854.47,596.25,854.47
2025-03-24,-100,62351.47,618.85,466.47
2025-03-25,-100,62351.47,626.31,-279.53
2025-03-26,-100,62351.47,610.98,1253.47
2025-03-27,-100,62351.47,602.58,2093.47
2025-03-28,0,4494.95,576.74,4494.95
2025-03-31,100,-51855.05,576.36,5780.95
2025-04-01,0,6572.81,586.0,6572.81
2025-04-02,0,6572.81,583.93,6572.81
2025-04-03,0,6572.81,531.62,6572.81
2025-04-04,0,6572.81,504.73,6572.81
2025-04-07,0,10978.06,516.25,10978.06
2025-04-08,0,10978.06,510.45,10978.06
2025-04-09,0,10978.06,585.77,10978.06
2025-04-10,0,10978.06,546.29,10978.06
2025-04-11,0,10978.06,543.57,10978.06
2025-04-14,-100,66596.06,531.48,13448.06
2025-04-15,-100,66596.06,521.52,14444.06
2025-04-16,-100,66596.06,502.31,16365.06
2025-04-17,0,16448.06,501.48,16448.06
2025-04-21,100,-32684.94,484.66,15781.06
