,timestamp,open,high,low,close,volume,wap,barCount,trd_prd
0,2024-09-03,417.95,419.88,407.03,409.44,7850424,412.829,46056,2024.09
1,2024-09-04,405.79,411.24,404.37,408.9,7333880,408.382,43040,2024.09
2,2024-09-05,407.62,413.1,406.13,408.39,6651606,408.91,41539,2024.09
3,2024-09-06,409.49,410.65,400.8,401.7,7475042,403.583,42439,2024.09
4,2024-09-09,407.12,408.65,402.15,405.72,7376986,404.838,37556,2024.09
5,2024-09-10,408.03,416.33,407.71,414.2,8721401,412.732,51133,2024.09
6,2024-09-11,415.5,423.99,409.58,423.04,8141708,417.211,50929,2024.09
7,2024-09-12,423.58,427.37,419.75,427.0,8049210,423.501,48499,2024.09
8,2024-09-13,425.79,431.83,425.46,430.59,6243326,429.25,36838,2024.09
9,2024-09-16,430.59,433.53,428.22,431.34,6436900,430.717,40631,2024.09
10,2024-09-17,440.23,441.85,432.27,435.15,9760063,436.843,56883,2024.09
11,2024-09-18,434.99,436.03,430.41,430.81,7908519,432.71,49142,2024.09
12,2024-09-19,441.27,441.5,436.9,438.69,8566365,439.149,50384,2024.09
13,2024-09-20,437.05,439.24,434.22,435.27,12678546,436.701,45690,2024.09
14,2024-09-23,434.28,436.46,430.38,433.51,4895392,433.759,28628,2024.09
15,2024-09-24,433.0,433.35,426.1,429.17,6947969,429.116,40989,2024.09
16,2024-09-25,430.0,433.12,428.57,432.11,5469213,431.295,33170,2024.09
17,2024-09-26,435.0,435.3,429.13,431.31,6651270,431.109,40379,2024.09
18,2024-09-27,431.8,431.85,427.47,428.02,5399387,429.409,32210,2024.09
19,2024-09-30,428.21,430.42,425.37,430.3,5580074,427.915,35706,2024.09
20,2024-10-01,428.45,428.48,418.81,420.69,7956955,422.05,49073,2024.1
21,2024-10-02,422.58,422.88,416.71,417.13,7563383,418.378,44584,2024.1
22,2024-10-03,417.8,419.55,414.29,416.54,6802728,416.691,37503,2024.1
23,2024-10-04,417.88,419.75,414.97,416.06,6774423,417.24,38241,2024.1
24,2024-10-07,416.0,417.11,409.0,409.54,9483047,413.338,54678,2024.1
25,2024-10-08,410.9,415.66,408.17,414.71,9265883,413.263,46522,2024.1
26,2024-10-09,416.0,420.38,414.3,417.46,7697683,417.604,36882,2024.1
27,2024-10-10,415.23,417.35,413.15,415.84,6556283,415.458,36731,2024.1
28,2024-10-11,416.14,417.13,413.25,416.32,6388886,415.314,35267,2024.1
29,2024-10-14,417.68,424.04,417.52,419.14,8274042,420.436,42721,2024.1
30,2024-10-15,422.2,422.48,415.26,418.74,6904862,418.06,44870,2024.1
31,2024-10-16,415.17,416.36,410.48,416.12,6577464,414.28,36037,2024.1
32,2024-10-17,422.38,422.5,415.59,416.72,5434764,417.883,30910,2024.1
33,2024-10-18,417.17,419.65,416.26,418.16,7317161,417.638,28065,2024.1
34,2024-10-21,416.19,418.96,413.75,418.78,5884589,416.4,33741,2024.1
35,2024-10-22,418.47,430.58,418.04,427.51,11824331,426.679,63842,2024.1
36,2024-10-23,431.07,431.08,422.53,424.6,8862416,427.233,51564,2024.1
37,2024-10-24,425.33,425.98,422.4,424.73,5108845,424.484,29978,2024.1
38,2024-10-25,426.76,432.52,426.56,428.15,6843452,429.784,41107,2024.1
39,2024-10-28,431.49,431.94,426.3,426.59,6249698,428.372,34744,2024.1
40,2024-10-29,428.0,433.17,425.8,431.95,6698169,430.325,39285,2024.1
41,2024-10-30,437.37,438.5,432.1,432.53,12564908,435.447,73831,2024.1
42,2024-10-31,415.01,416.16,406.3,406.35,26760897,409.407,156142,2024.1
43,2024-11-01,409.0,415.5,407.5,410.37,11285385,411.819,64175,2024.11
44,2024-11-04,410.0,410.42,405.57,408.46,7719846,408.16,43278,2024.11
45,2024-11-05,408.08,414.9,408.08,411.46,7691477,412.138,44006,2024.11
46,2024-11-06,412.42,420.45,410.52,420.18,12351765,417.089,71304,2024.11
47,2024-11-07,421.28,426.85,419.88,425.43,8655360,423.951,49341,2024.11
48,2024-11-08,425.41,426.5,421.78,422.54,6934686,423.841,38387,2024.11
49,2024-11-11,422.44,424.81,416.0,418.01,9033618,419.568,51237,2024.11
50,2024-11-12,418.25,424.44,417.2,423.03,7619872,421.02,44002,2024.11
51,2024-11-13,421.64,429.33,418.21,425.2,8794655,424.161,51604,2024.11
52,2024-11-14,425.0,428.17,420.0,426.89,11023206,425.654,67630,2024.11
53,2024-11-15,419.57,422.8,413.64,415.0,11337754,416.879,60052,2024.11
54,2024-11-18,414.87,418.41,412.1,415.76,6638000,415.873,38228,2024.11
55,2024-11-19,413.11,417.94,411.55,417.79,6803466,414.722,38478,2024.11
56,2024-11-20,416.87,417.29,410.58,415.49,6669375,414.055,38822,2024.11
57,2024-11-21,419.5,419.78,410.28,412.87,9177668,414.021,52200,2024.11
58,2024-11-22,411.37,417.4,411.06,417.0,8054969,414.365,44798,2024.11
59,2024-11-25,418.25,421.08,414.85,418.79,7304651,417.172,39949,2024.11
60,2024-11-26,419.69,429.05,418.85,427.99,10099353,425.475,59566,2024.11
61,2024-11-27,425.12,427.23,422.02,422.99,6947066,424.259,41759,2024.11
62,2024-11-29,420.1,424.89,417.8,423.46,6105425,421.659,37814,2024.11
63,2024-12-02,421.57,433.0,421.31,430.98,7646501,429.579,43558,2024.12
64,2024-12-03,429.84,432.47,427.74,431.2,6806448,430.426,38926,2024.12
65,2024-12-04,433.08,439.67,432.63,437.42,10437725,437.283,61928,2024.12
66,2024-12-05,438.3,444.66,436.17,442.62,8912811,441.241,53607,2024.12
67,2024-12-06,442.24,446.1,441.77,443.57,7050869,443.841,42744,2024.12
68,2024-12-09,442.71,448.33,440.5,446.02,8355866,445.284,48880,2024.12
69,2024-12-10,444.39,449.62,441.6,443.33,7230812,445.536,44327,2024.12
70,2024-12-11,444.08,450.35,444.05,448.99,6660402,448.185,38179,2024.12
