,timestamp,open,high,low,close,volume,wap,barCount,trd_prd
0,2024-09-03,115.84,116.09,114.04,115.47,7824922,115.224,41167,2024.09
1,2024-09-04,115.29,116.15,113.97,114.06,7133340,114.881,33888,2024.09
2,2024-09-05,115.07,115.28,113.07,113.17,6949548,113.966,35085,2024.09
3,2024-09-06,113.59,114.18,111.73,112.64,7212147,112.635,38243,2024.09
4,2024-09-09,112.87,116.15,112.66,115.01,13655028,115.04,69188,2024.09
5,2024-09-10,115.1,115.4,110.17,110.82,13369037,111.699,65834,2024.09
6,2024-09-11,110.78,110.95,107.77,109.72,12099352,109.223,59340,2024.09
7,2024-09-12,109.9,111.33,109.76,111.23,6713734,110.817,32460,2024.09
8,2024-09-13,111.47,112.47,110.93,111.15,5539889,111.65,28757,2024.09
9,2024-09-16,112.05,113.09,111.69,112.71,6112676,112.446,30455,2024.09
10,2024-09-17,112.32,114.37,112.12,114.18,5809098,113.839,29250,2024.09
11,2024-09-18,114.11,115.63,113.81,114.58,6622808,114.535,37174,2024.09
12,2024-09-19,116.16,117.58,115.19,116.0,6567660,116.532,35543,2024.09
13,2024-09-20,115.46,115.51,114.25,115.27,9390320,114.999,37053,2024.09
14,2024-09-23,115.33,117.8,115.12,117.36,7883854,116.932,39551,2024.09
15,2024-09-24,117.84,118.16,116.83,117.05,5027673,117.335,27146,2024.09
16,2024-09-25,116.48,117.05,114.04,114.77,7353943,114.976,40851,2024.09
17,2024-09-26,111.14,113.48,111.14,112.8,10243350,112.735,53776,2024.09
18,2024-09-27,113.76,116.09,113.25,115.82,8417583,115.213,45091,2024.09
19,2024-09-30,115.46,117.39,114.96,117.22,6403799,116.44,31578,2024.09
20,2024-10-01,116.04,120.6,115.93,119.93,13705273,119.542,70389,2024.1
21,2024-10-02,121.93,122.82,120.2,121.52,10230635,121.4,52052,2024.1
22,2024-10-03,121.9,123.17,120.92,122.58,9427339,122.321,49095,2024.1
23,2024-10-04,123.2,125.19,122.43,124.83,12006245,124.399,57290,2024.1
24,2024-10-07,125.25,126.34,124.86,125.37,8439242,125.674,42054,2024.1
25,2024-10-08,123.88,124.02,121.26,122.04,7967718,122.315,41452,2024.1
26,2024-10-09,120.9,122.58,120.8,122.09,5500649,121.915,30603,2024.1
27,2024-10-10,123.16,123.71,122.29,123.14,5335383,123.207,26812,2024.1
28,2024-10-11,123.1,124.04,122.94,123.61,4339517,123.659,24308,2024.1
29,2024-10-14,123.24,124.26,122.61,124.08,4830008,123.708,24373,2024.1
30,2024-10-15,120.65,121.95,119.78,120.35,8670854,120.796,48082,2024.1
31,2024-10-16,120.89,121.44,120.6,120.66,4654770,120.902,26113,2024.1
32,2024-10-17,120.76,121.58,119.71,120.35,6039155,120.527,35339,2024.1
33,2024-10-18,120.44,120.64,119.15,120.01,5980821,119.813,26458,2024.1
34,2024-10-21,120.98,121.48,119.72,120.08,4641747,120.284,23793,2024.1
35,2024-10-22,120.26,121.19,119.94,120.7,4205404,120.664,22280,2024.1
36,2024-10-23,119.97,120.75,119.4,120.27,4193825,120.02,23638,2024.1
37,2024-10-24,120.0,120.44,119.12,119.59,5027176,119.664,27800,2024.1
38,2024-10-25,120.2,120.43,119.31,119.49,5526269,119.764,28855,2024.1
39,2024-10-28,116.79,119.01,116.77,118.9,6715080,118.251,32935,2024.1
40,2024-10-29,118.58,119.18,117.07,117.28,6528017,117.812,36447,2024.1
41,2024-10-30,117.66,118.27,116.48,116.69,6288882,117.349,36452,2024.1
42,2024-10-31,117.15,118.67,116.68,116.78,11737199,117.292,65925,2024.1
43,2024-11-01,119.65,119.95,114.84,114.95,12203674,116.701,67683,2024.11
44,2024-11-04,116.07,118.7,115.93,118.61,8506167,118.075,42246,2024.11
45,2024-11-05,119.08,119.21,118.01,118.96,5881151,118.735,31486,2024.11
46,2024-11-06,121.15,121.91,119.3,121.0,10911865,120.944,54630,2024.11
47,2024-11-07,121.3,121.5,119.61,121.15,6476763,120.651,35868,2024.11
48,2024-11-08,120.98,121.42,119.66,121.11,6259893,120.612,29328,2024.11
49,2024-11-11,121.0,121.62,120.07,120.47,6128489,120.657,33906,2024.11
50,2024-11-12,121.13,121.31,119.83,120.35,5978732,120.621,33071,2024.11
51,2024-11-13,120.57,122.05,118.8,121.47,7252847,120.771,39112,2024.11
52,2024-11-14,121.66,121.88,120.33,120.56,6809841,120.893,35212,2024.11
53,2024-11-15,120.4,121.24,119.13,119.31,8312069,120.094,41880,2024.11
54,2024-11-18,119.79,120.62,119.27,120.31,5696614,120.006,30794,2024.11
55,2024-11-19,119.75,119.75,118.2,118.63,5619542,118.817,27010,2024.11
56,2024-11-20,119.17,120.47,118.64,120.32,5316924,119.58,29741,2024.11
57,2024-11-21,121.08,122.56,120.27,121.93,8917825,121.639,37279,2024.11
58,2024-11-22,121.82,123.21,121.64,121.79,6628522,122.148,31742,2024.11
59,2024-11-25,121.43,121.88,119.61,119.97,7319210,120.595,36328,2024.11
60,2024-11-26,119.53,119.68,117.84,117.97,8731257,118.337,45947,2024.11
61,2024-11-27,118.09,118.73,117.43,117.66,5913500,118.11,29048,2024.11
62,2024-11-29,117.44,118.5,116.95,117.96,4066392,118.085,20893,2024.11
63,2024-12-02,118.05,118.2,116.82,117.85,6199107,117.443,32224,2024.12
64,2024-12-03,118.72,118.72,117.25,117.67,5441751,117.917,29145,2024.12
65,2024-12-04,117.5,117.55,113.86,114.28,10816702,114.882,55843,2024.12
66,2024-12-05,114.71,115.62,114.06,114.78,7980166,114.943,41945,2024.12
67,2024-12-06,114.54,114.77,113.5,113.57,8354515,113.938,46326,2024.12
68,2024-12-09,114.64,114.94,112.74,112.9,10106492,113.919,53681,2024.12
69,2024-12-10,113.59,113.88,111.75,112.67,11856401,112.944,61820,2024.12
70,2024-12-11,112.0,112.39,111.11,111.92,12840689,111.758,65247,2024.12
71,2024-12-12,111.59,112.38,110.78,111.82,8875638,111.733,48810,2024.12
72,2024-12-13,111.9,111.9,110.25,110.84,6684693,110.835,36239,2024.12
73,2024-12-16,110.2,110.4,108.16,108.47,12055833,109.108,57977,2024.12
74,2024-12-17,107.23,108.17,106.78,108.01,8689977,107.349,44376,2024.12
75,2024-12-18,107.57,108.83,106.31,106.42,9019662,107.81,47259,2024.12
76,2024-12-19,107.39,107.67,105.21,105.51,10528876,106.038,54939,2024.12
77,2024-12-20,105.45,106.14,104.84,105.87,11537346,105.456,44633,2024.12
78,2024-12-23,105.31,106.6,104.92,106.3,6738054,105.64,31307,2024.12
79,2024-12-24,106.52,107.19,105.7,106.4,4134734,106.599,21339,2024.12
80,2024-12-26,106.52,107.03,105.94,106.49,5714427,106.393,29669,2024.12
81,2024-12-27,106.3,107.99,105.77,106.48,6571016,106.878,35866,2024.12
82,2024-12-30,106.3,106.56,105.51,105.76,5674867,105.956,27530,2024.12
83,2024-12-31,106.17,107.9,105.78,107.57,6910414,107.302,36406,2024.12
84,2025-01-02,108.28,109.0,106.88,107.31,7424066,107.84,41048,2025.01
85,2025-01-03,108.0,108.49,107.46,107.86,6597493,108.042,34323,2025.01
86,2025-01-06,108.24,109.78,107.52,107.74,8254310,108.581,40770,2025.01
87,2025-01-07,108.94,110.06,108.28,108.75,7045704,109.105,36976,2025.01
88,2025-01-08,107.31,107.71,106.01,106.93,10517156,107.031,48852,2025.01
89,2025-01-10,108.7,110.1,105.78,106.54,11080529,107.031,55297,2025.01
90,2025-01-13,107.13,109.63,107.12,109.29,10027518,108.793,50854,2025.01
91,2025-01-14,108.79,109.76,107.83,109.72,6032413,108.741,30582,2025.01
92,2025-01-15,110.05,111.73,109.47,111.51,6839378,111.057,36068,2025.01
93,2025-01-16,111.19,111.69,110.55,111.32,5310558,111.116,29969,2025.01
94,2025-01-17,111.03,112.87,110.82,112.32,11648552,112.016,44774,2025.01
